 * Serving Flask app 'app'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8081
 * Running on http://192.168.130.4:8081
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 117-981-632
127.0.0.1 - - [04/Mar/2026 22:23:34] "GET /api/stats HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:23:39] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:23:39] "GET /index_new.html HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:23:39] "[36mGET /logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [04/Mar/2026 22:23:39] "[36mGET /logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [04/Mar/2026 22:23:39] "GET /api/instruments HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:23:39] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:23:39] "GET /api/records HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:23:39] "GET /api/admin/users HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:23:39] "GET /api/admin/users/pending HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:23:39] "GET /api/borrow/pending HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:23:39] "GET /api/history HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:24:39] "GET /api/instruments HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:24:39] "GET /api/records HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:24:39] "GET /api/history HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:25:39] "GET /api/instruments HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:25:39] "GET /api/records HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:25:39] "GET /api/history HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:26:39] "GET /api/instruments HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:26:39] "GET /api/records HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:26:39] "GET /api/history HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:27:39] "GET /api/instruments HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:27:39] "GET /api/records HTTP/1.1" 200 -
127.0.0.1 - - [04/Mar/2026 22:27:39] "GET /api/history HTTP/1.1" 200 -
